"node1","node2","BRCA","COAD","HNSC","KIRC","KIRP","LIHC","LUAD","LUSC","PRAD","STAD","THCA","UCEC"
"HSPA9","DNAJC11",0,1,1,0,1,0,0,0,1,1,1,1
"HSPA9","ALKBH7",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","GLDC",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","MPC1L",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","THEM4",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","SSBP1",0,1,0,0,0,0,0,0,0,1,0,0
"HSPA9","MRPL27",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","MRPS10",0,0,0,0,1,0,0,0,0,0,1,1
"HSPA9","AK4",0,0,0,0,1,0,0,0,0,0,0,1
"HSPA9","ATAD3A",0,0,0,0,0,0,0,0,0,1,0,0
"HSPA9","MRPL37",0,1,0,0,1,0,0,0,0,1,0,1
"HSPA9","PTGES2",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","TXNRD2",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","ACSM5",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","CISD1",0,1,0,1,1,0,0,0,0,0,1,1
"HSPA9","MRPL41",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","MTARC2",0,0,0,0,1,0,0,0,0,0,1,0
"HSPA9","MRPS6",0,0,0,0,0,0,0,0,0,0,0,1
"HSPA9","MRPL23",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","SQOR",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","SCO1",0,0,0,1,1,0,0,0,1,1,1,1
"HSPA9","GCAT",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","MTHFD1L",0,1,0,0,0,0,0,0,1,1,0,1
"HSPA9","ECI2",0,0,0,1,1,0,0,0,0,0,0,0
"HSPA9","UQCRB",0,1,0,0,0,0,0,0,0,0,0,0
"HSPA9","ATP5H",0,1,0,0,0,0,0,0,0,0,0,0
"HSPA9","ATP5L",0,1,0,0,0,0,0,0,0,0,0,0
"HSPA9","CCDC58",0,1,0,0,0,0,0,0,0,1,0,1
"HSPA9","MCCC2",1,1,1,1,1,1,1,1,0,1,1,0
